CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2013;Facultad de Ciencias;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;34;0;;;0;0;;0;15;0;1043.50;0.00;;;;;;;29/04/2018
2013;Facultad de Derecho;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;56;0;;;0;0;;0;;0;1826.50;0.00;;;;;;;29/04/2018
2013;Facultad de Filosofía y Letras;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;265;0;;;0;0;;0;;0;10925.00;0.00;;100.00;100.00;;;;29/04/2018
2013;Facultad de Medicina;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;25;0;;;0;0;;0;;0;1025.00;0.00;;;;;;;29/04/2018
2013;Facultad de Veterinaria;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;27;0;;;0;0;;0;;0;1194.50;0.00;;100.00;100.00;;;;29/04/2018
2013;Facultad de Educación;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;28;0;;;0;0;;0;;0;933.00;0.00;;100.00;100.00;;;;29/04/2018
2013;Facultad de Ciencias Sociales y del Trabajo;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;19;0;;;0;0;;0;;0;586.00;0.00;;100.00;100.00;;;;29/04/2018
2013;Facultad de Economía y Empresa;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;126;0;;;0;0;;0;;0;3822.00;0.00;;;;;;;29/04/2018
2013;Escuela de Ingeniería y Arquitectura;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;114;0;;;0;0;;0;;0;3760.50;0.00;;100.00;62.50;;;;29/04/2018
2013;Facultad de Ciencias de la Salud;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;15;0;;;0;0;;0;;0;556.00;0.00;;100.00;100.00;;;;29/04/2018
2013;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;15;0;;;0;0;;3;;0;705.00;6.00;;100.00;100.00;;;;29/04/2018
2013;Escuela Universitaria de Turismo de Zaragoza;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;16;0;;;0;0;;0;;0;672.00;0.00;;;;;;;29/04/2018
2013;Escuela Politécnica Superior;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;2;0;;;0;0;;0;;0;60.00;0.00;;;;;;;29/04/2018
2013;Facultad de Empresa y Gestión Pública;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;19;0;;;0;0;;0;;0;621.00;0.00;;;;;;;29/04/2018
2013;Facultad de Ciencias de la Salud y del Deporte;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;9;0;;;0;0;;1;;0;336.00;4.00;;;;;;;29/04/2018
2013;Facultad de Ciencias Sociales y Humanas de Teruel;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;30;0;;;0;0;;0;;0;1002.00;0.00;;;;;;;29/04/2018
2013;Escuela Universitaria Politécnica de Teruel;Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;1;0;;;0;0;;0;;0;30.00;0.00;;;;;;;29/04/2018
2013;Facultad de Ciencias Humanas y de la Educación;Maestro Educación Infantil;Diplomatura o equivalente;7;0;;6;0;0;0;2;;0;99.50;15.00;7.20;86.73;52.41;57.42;;;29/04/2018
2013;Facultad de Ciencias Sociales y Humanas de Teruel;Maestro Educación Infantil;Diplomatura o equivalente;3;0;;5;0;0;0;3;;0;60.50;6.50;7.50;100.00;100.00;52.26;;;29/04/2018
2013;Facultad de Educación;Maestro Educación Primaria;Diplomatura o equivalente;11;0;;4;0;0;0;6;;0;150.50;37.00;11.00;73.96;31.00;45.37;;;29/04/2018
2013;Facultad de Ciencias Humanas y de la Educación;Maestro Educación Primaria;Diplomatura o equivalente;13;0;;5;0;0;0;2;;0;237.00;11.00;7.67;80.73;37.13;58.77;;;29/04/2018
2013;Facultad de Ciencias Sociales y Humanas de Teruel;Maestro Educación Primaria;Diplomatura o equivalente;4;0;;3;0;0;0;1;;0;67.50;0.50;8.33;90.91;81.08;50.15;;;29/04/2018
