CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2013;Huesca;Ingeniero Técnico Industrial, E. Química Industrial;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;3;0;0;;;29/04/2018
2013;Huesca;Ingeniero Técnico Industrial, E. Química Industrial;Diplomatura o equivalente;Graduado;Hombres;4;0;0;0;8.00;62.02;29/04/2018
2013;Huesca;Ingeniero Técnico Industrial, E. Química Industrial;Diplomatura o equivalente;Graduado;Mujeres;2;0;0;0;7.50;68.66;29/04/2018
2013;Huesca;Ini. a la investigación en ciencias agrarias y del medio natural;Máster;Graduado;Hombres;1;0;0;0;;;29/04/2018
2013;Huesca;Licenciado en Ciencias de la Actividad Física y del Deporte;Licenciatura o equivalente;Abandono Voluntario;Hombres;0;3;0;0;;;29/04/2018
2013;Huesca;Licenciado en Ciencias de la Actividad Física y del Deporte;Licenciatura o equivalente;Graduado;Hombres;11;0;0;0;6.25;65.74;29/04/2018
2013;Huesca;Licenciado en Ciencias de la Actividad Física y del Deporte;Licenciatura o equivalente;Graduado;Mujeres;7;0;0;0;8.50;67.45;29/04/2018
2013;Huesca;Licenciado en Humanidades;Licenciatura o equivalente;Abandono Voluntario;Hombres;0;1;0;0;;;29/04/2018
2013;Huesca;Licenciado en Humanidades;Licenciatura o equivalente;Abandono Voluntario;Mujeres;0;7;0;0;;;29/04/2018
2013;Huesca;Licenciado en Humanidades;Licenciatura o equivalente;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;29/04/2018
2013;Huesca;Licenciado en Humanidades;Licenciatura o equivalente;Graduado;Hombres;1;0;0;0;;;29/04/2018
2013;Huesca;Licenciado en Humanidades;Licenciatura o equivalente;Graduado;Mujeres;3;0;0;0;15.33;55.44;29/04/2018
2013;Huesca;Licenciado en Odontología;Licenciatura o equivalente;Abandono Voluntario;Hombres;0;1;1;0;;;29/04/2018
2013;Huesca;Licenciado en Odontología;Licenciatura o equivalente;Graduado;Hombres;11;0;0;0;5.00;90.74;29/04/2018
2013;Huesca;Licenciado en Odontología;Licenciatura o equivalente;Graduado;Mujeres;20;0;0;0;4.68;94.03;29/04/2018
2013;Huesca;Maestro Educación Física;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;7;0;0;;;29/04/2018
2013;Huesca;Maestro Educación Física;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;3;0;0;;;29/04/2018
2013;Huesca;Maestro Educación Física;Diplomatura o equivalente;Graduado;Hombres;11;0;0;0;5.73;61.45;29/04/2018
2013;Huesca;Maestro Educación Física;Diplomatura o equivalente;Graduado;Mujeres;1;0;0;0;13.00;51.11;29/04/2018
2013;Huesca;Maestro Educación Infantil;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;3;0;0;;;29/04/2018
2013;Huesca;Maestro Educación Infantil;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;9;0;0;;;29/04/2018
2013;Huesca;Maestro Educación Infantil;Diplomatura o equivalente;Graduado;Mujeres;6;0;0;0;7.20;57.42;29/04/2018
